text,class,person,location,time
we will meet raj at the drop point at 2am,suspicious,raj,drop point,2am
explosives are in the warehouse marked red,critical,,warehouse,
team bravo will move in at 0600 hours,suspicious,,bravo sector,0600 hours
inform agent neha to change extraction point,critical,neha,extraction point,
we'll intercept the convoy near delhi at 3pm,critical,,delhi,3pm
await further instructions from commander rao,suspicious,rao,,
neutralize the target before 5pm at sector 9,critical,,sector 9,5pm
launch drone near pakistan border at 7am,critical,,pakistan border,7am
rahul will deliver the package to mumbai,suspicious,rahul,mumbai,
good morning commander,benign,commander,,
meeting scheduled with arjun at HQ at 10am,suspicious,arjun,HQ,10am
target was spotted near jalgaon at midnight,critical,,jalgaon,midnight
thank you for the update,benign,,,
Deliver the consignment to HQ.,suspicious,,HQ,
We will meet Sneha at HQ at 12 noon.,suspicious,Sneha,HQ,12 noon
All units are in position at Warehouse 5.,benign,,Warehouse 5,
Deliver the consignment to Delhi.,suspicious,,Delhi,
Sector breach reported by Sneha at Extraction Point.,critical,Sneha,Extraction Point,
Wait for instructions from Raj at 2am.,suspicious,Raj,,2am
Move the team to Pakistan Border before 9pm.,suspicious,,Pakistan Border,9pm
Drone surveillance needed over Jalgaon at 9pm.,critical,,Jalgaon,9pm
Keep watch over Delhi during 5pm.,suspicious,,Delhi,5pm
Deliver the consignment to HQ.,suspicious,,HQ,
I will join the meeting at midnight.,benign,,,midnight
Deliver the consignment to Bravo Zone.,suspicious,,Bravo Zone,
Deliver the consignment to Jalgaon.,suspicious,,Jalgaon,
Keep watch over Warehouse 5 during 5pm.,suspicious,,Warehouse 5,5pm
Thank you for the update.,benign,,,
Neutralize the target before midnight.,critical,,,midnight
Sector breach reported by Arjun at Delhi.,critical,Arjun,Delhi,
Drone surveillance needed over Bravo Zone at 3pm.,critical,,Bravo Zone,3pm
Wait for instructions from Arjun at 2am.,suspicious,Arjun,,2am
Explosives are hidden at Pakistan Border.,critical,,Pakistan Border,
Good morning commander.,benign,,,
Move the team to Sector 9 before 3pm.,suspicious,,Sector 9,3pm
Explosives are hidden at Pakistan Border.,critical,,Pakistan Border,
Explosives are hidden at Pakistan Border.,critical,,Pakistan Border,
Move the team to Pakistan Border before midnight.,suspicious,,Pakistan Border,midnight
Move the team to Warehouse 5 before 0600 hours.,suspicious,,Warehouse 5,0600 hours
Mission to eliminate Amit is approved.,critical,Amit,,
Message received from Kiran.,benign,Kiran,,
Contact Raj once you're at Mumbai.,suspicious,Raj,Mumbai,
Message received from Amit.,benign,Amit,,
We will meet Raj at Checkpoint Alpha at 10am.,suspicious,Raj,Checkpoint Alpha,10am
Explosives are hidden at Pakistan Border.,critical,,Pakistan Border,
Thank you for the update.,benign,,,
Explosives are hidden at Sector 9.,critical,,Sector 9,
Explosives are hidden at Delhi.,critical,,Delhi,
Contact Arjun once you're at HQ.,suspicious,Arjun,HQ,
Intercept the convoy near Warehouse 5 at 2am.,critical,,Warehouse 5,2am
Good morning commander.,benign,,,
Keep watch over HQ during 5pm.,suspicious,,HQ,5pm
Contact Rahul once you're at Warehouse 5.,suspicious,Rahul,Warehouse 5,
Thank you for the update.,benign,,,
Mission to eliminate Kabir is approved.,critical,Kabir,,
Drone surveillance needed over Bravo Zone at 10am.,critical,,Bravo Zone,10am
Message received from Rao.,benign,Rao,,
Deliver the consignment to Sector 9.,suspicious,,Sector 9,
We will meet Raj at Checkpoint Alpha at midnight.,suspicious,Raj,Checkpoint Alpha,midnight
All units are in position at Bravo Zone.,benign,,Bravo Zone,
I will join the meeting at 12 noon.,benign,,,12 noon
Deliver the consignment to Jalgaon.,suspicious,,Jalgaon,
Move the team to Jalgaon before 3pm.,suspicious,,Jalgaon,3pm
Move the team to HQ before 10am.,suspicious,,HQ,10am
We will meet Arjun at Bravo Zone at dawn.,suspicious,Arjun,Bravo Zone,dawn
Wait for instructions from Kabir at 10am.,suspicious,Kabir,,10am
Neha will lead the strike at HQ.,critical,Neha,HQ,
Thank you for the update.,benign,,,
Drone surveillance needed over Sector 9 at 0600 hours.,critical,,Sector 9,0600 hours
Message received from Kiran.,benign,Kiran,,
Commence attack on Mumbai at dawn.,critical,,Mumbai,dawn
Sneha has submitted the daily report.,benign,Sneha,,
Commence attack on Warehouse 5 at 5pm.,critical,,Warehouse 5,5pm
Neha will lead the strike at Extraction Point.,critical,Neha,Extraction Point,
Move the team to Bravo Zone before 10am.,suspicious,,Bravo Zone,10am
Keep watch over Checkpoint Alpha during 2am.,suspicious,,Checkpoint Alpha,2am
Deliver the consignment to Mumbai.,suspicious,,Mumbai,
Thank you for the update.,benign,,,
Kabir will lead the strike at Checkpoint Alpha.,critical,Kabir,Checkpoint Alpha,
Raj has submitted the daily report.,benign,Raj,,
Intercept the convoy near Jalgaon at 0600 hours.,critical,,Jalgaon,0600 hours
Message received from Rao.,benign,Rao,,
Deliver the consignment to Checkpoint Alpha.,suspicious,,Checkpoint Alpha,
We will meet Kabir at Pakistan Border at 3pm.,suspicious,Kabir,Pakistan Border,3pm
Drone surveillance needed over Bravo Zone at 12 noon.,critical,,Bravo Zone,12 noon
Raj has submitted the daily report.,benign,Raj,,
Deliver the consignment to Warehouse 5.,suspicious,,Warehouse 5,
Message received from Kabir.,benign,Kabir,,
Wait for instructions from Neha at 3pm.,suspicious,Neha,,3pm
Explosives are hidden at Pakistan Border.,critical,,Pakistan Border,
Thank you for the update.,benign,,,
We will meet Sneha at Checkpoint Alpha at dawn.,suspicious,Sneha,Checkpoint Alpha,dawn
Deliver the consignment to Warehouse 5.,suspicious,,Warehouse 5,
Mission to eliminate Anjali is approved.,critical,Anjali,,
Move the team to Jalgaon before midnight.,suspicious,,Jalgaon,midnight
Commence attack on Mumbai at 2am.,critical,,Mumbai,2am
We will meet Amit at Delhi at 3pm.,suspicious,Amit,Delhi,3pm
Commence attack on Warehouse 5 at 5pm.,critical,,Warehouse 5,5pm
Intercept the convoy near Delhi at 2am.,critical,,Delhi,2am
Deliver the consignment to Delhi.,suspicious,,Delhi,
Neutralize the target before 0600 hours.,critical,,,0600 hours
Intercept the convoy near Extraction Point at midnight.,critical,,Extraction Point,midnight
Move the team to Warehouse 5 before 10am.,suspicious,,Warehouse 5,10am
Intercept the convoy near Extraction Point at 3pm.,critical,,Extraction Point,3pm
Neha will lead the strike at Delhi.,critical,Neha,Delhi,
Mission to eliminate Kabir is approved.,critical,Kabir,,
Drone surveillance needed over Extraction Point at 9pm.,critical,,Extraction Point,9pm
Deliver the consignment to Checkpoint Alpha.,suspicious,,Checkpoint Alpha,
Commence attack on Checkpoint Alpha at 12 noon.,critical,,Checkpoint Alpha,12 noon
Keep watch over Bravo Zone during 7am.,suspicious,,Bravo Zone,7am
Message received from Kiran.,benign,Kiran,,
Sector breach reported by Kiran at Extraction Point.,critical,Kiran,Extraction Point,
Prepare the package for Sneha.,suspicious,Sneha,,
Deliver the consignment to HQ.,suspicious,,HQ,
We will meet Sneha at HQ at 12 noon.,suspicious,Sneha,HQ,12 noon
All units are in position at Warehouse 5.,benign,,Warehouse 5,
Deliver the consignment to Delhi.,suspicious,,Delhi,
Sector breach reported by Sneha at Extraction Point.,critical,Sneha,Extraction Point,
Wait for instructions from Raj at 2am.,suspicious,Raj,,2am
Move the team to Pakistan Border before 9pm.,suspicious,,Pakistan Border,9pm
Drone surveillance needed over Jalgaon at 9pm.,critical,,Jalgaon,9pm
Keep watch over Delhi during 5pm.,suspicious,,Delhi,5pm
Deliver the consignment to HQ.,suspicious,,HQ,
I will join the meeting at midnight.,benign,,,midnight
Deliver the consignment to Bravo Zone.,suspicious,,Bravo Zone,
Deliver the consignment to Jalgaon.,suspicious,,Jalgaon,
Keep watch over Warehouse 5 during 5pm.,suspicious,,Warehouse 5,5pm
Thank you for the update.,benign,,,
Neutralize the target before midnight.,critical,,,midnight
Sector breach reported by Arjun at Delhi.,critical,Arjun,Delhi,
Drone surveillance needed over Bravo Zone at 3pm.,critical,,Bravo Zone,3pm
Wait for instructions from Arjun at 2am.,suspicious,Arjun,,2am
Explosives are hidden at Pakistan Border.,critical,,Pakistan Border,
Good morning commander.,benign,,,
Move the team to Sector 9 before 3pm.,suspicious,,Sector 9,3pm
Explosives are hidden at Pakistan Border.,critical,,Pakistan Border,
Explosives are hidden at Pakistan Border.,critical,,Pakistan Border,
Move the team to Pakistan Border before midnight.,suspicious,,Pakistan Border,midnight
Move the team to Warehouse 5 before 0600 hours.,suspicious,,Warehouse 5,0600 hours
Mission to eliminate Amit is approved.,critical,Amit,,
Message received from Kiran.,benign,Kiran,,
Contact Raj once you're at Mumbai.,suspicious,Raj,Mumbai,
Message received from Amit.,benign,Amit,,
We will meet Raj at Checkpoint Alpha at 10am.,suspicious,Raj,Checkpoint Alpha,10am
Explosives are hidden at Pakistan Border.,critical,,Pakistan Border,
Thank you for the update.,benign,,,
Explosives are hidden at Sector 9.,critical,,Sector 9,
Explosives are hidden at Delhi.,critical,,Delhi,
Contact Arjun once you're at HQ.,suspicious,Arjun,HQ,
Intercept the convoy near Warehouse 5 at 2am.,critical,,Warehouse 5,2am
Good morning commander.,benign,,,
Keep watch over HQ during 5pm.,suspicious,,HQ,5pm
Contact Rahul once you're at Warehouse 5.,suspicious,Rahul,Warehouse 5,
Thank you for the update.,benign,,,
Mission to eliminate Kabir is approved.,critical,Kabir,,
Drone surveillance needed over Bravo Zone at 10am.,critical,,Bravo Zone,10am
Message received from Rao.,benign,Rao,,
Deliver the consignment to Sector 9.,suspicious,,Sector 9,
We will meet Raj at Checkpoint Alpha at midnight.,suspicious,Raj,Checkpoint Alpha,midnight
All units are in position at Bravo Zone.,benign,,Bravo Zone,
I will join the meeting at 12 noon.,benign,,,12 noon
Deliver the consignment to Jalgaon.,suspicious,,Jalgaon,
Move the team to Jalgaon before 3pm.,suspicious,,Jalgaon,3pm
Move the team to HQ before 10am.,suspicious,,HQ,10am
We will meet Arjun at Bravo Zone at dawn.,suspicious,Arjun,Bravo Zone,dawn
Wait for instructions from Kabir at 10am.,suspicious,Kabir,,10am
Neha will lead the strike at HQ.,critical,Neha,HQ,
Thank you for the update.,benign,,,
Drone surveillance needed over Sector 9 at 0600 hours.,critical,,Sector 9,0600 hours
Message received from Kiran.,benign,Kiran,,
Commence attack on Mumbai at dawn.,critical,,Mumbai,dawn
Sneha has submitted the daily report.,benign,Sneha,,
Commence attack on Warehouse 5 at 5pm.,critical,,Warehouse 5,5pm
Neha will lead the strike at Extraction Point.,critical,Neha,Extraction Point,
Move the team to Bravo Zone before 10am.,suspicious,,Bravo Zone,10am
Keep watch over Checkpoint Alpha during 2am.,suspicious,,Checkpoint Alpha,2am
Deliver the consignment to Mumbai.,suspicious,,Mumbai,
Thank you for the update.,benign,,,
Kabir will lead the strike at Checkpoint Alpha.,critical,Kabir,Checkpoint Alpha,
Raj has submitted the daily report.,benign,Raj,,
Intercept the convoy near Jalgaon at 0600 hours.,critical,,Jalgaon,0600 hours
Message received from Rao.,benign,Rao,,
Deliver the consignment to Checkpoint Alpha.,suspicious,,Checkpoint Alpha,
We will meet Kabir at Pakistan Border at 3pm.,suspicious,Kabir,Pakistan Border,3pm
Drone surveillance needed over Bravo Zone at 12 noon.,critical,,Bravo Zone,12 noon
Raj has submitted the daily report.,benign,Raj,,
Deliver the consignment to Warehouse 5.,suspicious,,Warehouse 5,
Message received from Kabir.,benign,Kabir,,
Wait for instructions from Neha at 3pm.,suspicious,Neha,,3pm
Explosives are hidden at Pakistan Border.,critical,,Pakistan Border,
Thank you for the update.,benign,,,
We will meet Sneha at Checkpoint Alpha at dawn.,suspicious,Sneha,Checkpoint Alpha,dawn
Deliver the consignment to Warehouse 5.,suspicious,,Warehouse 5,
Mission to eliminate Anjali is approved.,critical,Anjali,,
Move the team to Jalgaon before midnight.,suspicious,,Jalgaon,midnight
Commence attack on Mumbai at 2am.,critical,,Mumbai,2am
We will meet Amit at Delhi at 3pm.,suspicious,Amit,Delhi,3pm
Commence attack on Warehouse 5 at 5pm.,critical,,Warehouse 5,5pm
Intercept the convoy near Delhi at 2am.,critical,,Delhi,2am
Deliver the consignment to Delhi.,suspicious,,Delhi,
Neutralize the target before 0600 hours.,critical,,,0600 hours
Intercept the convoy near Extraction Point at midnight.,critical,,Extraction Point,midnight
Move the team to Warehouse 5 before 10am.,suspicious,,Warehouse 5,10am
Intercept the convoy near Extraction Point at 3pm.,critical,,Extraction Point,3pm
Neha will lead the strike at Delhi.,critical,Neha,Delhi,
Mission to eliminate Kabir is approved.,critical,Kabir,,
Drone surveillance needed over Extraction Point at 9pm.,critical,,Extraction Point,9pm
Deliver the consignment to Checkpoint Alpha.,suspicious,,Checkpoint Alpha,
Commence attack on Checkpoint Alpha at 12 noon.,critical,,Checkpoint Alpha,12 noon
Keep watch over Bravo Zone during 7am.,suspicious,,Bravo Zone,7am
Message received from Kiran.,benign,Kiran,,
Sector breach reported by Kiran at Extraction Point.,critical,Kiran,Extraction Point,
Prepare the package for Sneha.,suspicious,Sneha,,
Contact Rahul once you're at Pakistan Border.,suspicious,Rahul,Pakistan Border,
The system is operating normally at Warehouse 5.,benign,,Warehouse 5,
Keep watch over HQ during 2am.,suspicious,,HQ,2am
Sneha has submitted the daily report.,benign,Sneha,,
Drone surveillance needed over Jalgaon at 9pm.,critical,,Jalgaon,9pm
Wait for instructions from Sneha at midnight.,suspicious,Sneha,,midnight
We will meet Raj at Checkpoint Alpha at 3pm.,suspicious,Raj,Checkpoint Alpha,3pm
Good morning commander.,benign,,,
Prepare the package for Rao.,suspicious,Rao,,
Move the team to HQ before 9pm.,suspicious,,HQ,9pm
Neutralize the target before 10am.,critical,,,10am
Intercept the convoy near Checkpoint Alpha at 12 noon.,critical,,Checkpoint Alpha,12 noon
Commence attack on Sector 9 at 2am.,critical,,Sector 9,2am
Keep watch over Sector 9 during midnight.,suspicious,,Sector 9,midnight
Prepare the package for Raj.,suspicious,Raj,,
We will meet Rao at Pakistan Border at 7am.,suspicious,Rao,Pakistan Border,7am
Keep watch over Bravo Zone during dawn.,suspicious,,Bravo Zone,dawn
Drone surveillance needed over Mumbai at 10am.,critical,,Mumbai,10am
I will join the meeting at 9pm.,benign,,,9pm
Neha will lead the strike at Jalgaon.,critical,Neha,Jalgaon,
Explosives are hidden at Mumbai.,critical,,Mumbai,
We will meet Sneha at Mumbai at 9pm.,suspicious,Sneha,Mumbai,9pm
Contact Kiran once you're at Mumbai.,suspicious,Kiran,Mumbai,
Rahul will lead the strike at Sector 9.,critical,Rahul,Sector 9,
Kabir will lead the strike at Checkpoint Alpha.,critical,Kabir,Checkpoint Alpha,
We will meet Kabir at Bravo Zone at midnight.,suspicious,Kabir,Bravo Zone,midnight
Deliver the consignment to Jalgaon.,suspicious,,Jalgaon,
Mission to eliminate Anjali is approved.,critical,Anjali,,
Mission to eliminate Anjali is approved.,critical,Anjali,,
Neutralize the target before midnight.,critical,,,midnight
Sector breach reported by Arjun at Sector 9.,critical,Arjun,Sector 9,
Good morning commander.,benign,,,
Thank you for the update.,benign,,,
We will meet Neha at Checkpoint Alpha at 2am.,suspicious,Neha,Checkpoint Alpha,2am
Good morning commander.,benign,,,
We will meet Arjun at Warehouse 5 at 7am.,suspicious,Arjun,Warehouse 5,7am
Message received from Sneha.,benign,Sneha,,
Drone surveillance needed over Pakistan Border at 0600 hours.,critical,,Pakistan Border,0600 hours
Neha has submitted the daily report.,benign,Neha,,
Thank you for the update.,benign,,,
We will meet Neha at Bravo Zone at 7am.,suspicious,Neha,Bravo Zone,7am
Commence attack on Warehouse 5 at 7am.,critical,,Warehouse 5,7am
Kiran has submitted the daily report.,benign,Kiran,,
I will join the meeting at 5pm.,benign,,,5pm
Sector breach reported by Rao at Jalgaon.,critical,Rao,Jalgaon,
Sector breach reported by Amit at HQ.,critical,Amit,HQ,
Explosives are hidden at Mumbai.,critical,,Mumbai,
Contact Anjali once you're at Checkpoint Alpha.,suspicious,Anjali,Checkpoint Alpha,
I will join the meeting at 12 noon.,benign,,,12 noon
The system is operating normally at Warehouse 5.,benign,,Warehouse 5,
Message received from Raj.,benign,Raj,,
Kiran will lead the strike at Pakistan Border.,critical,Kiran,Pakistan Border,
Rao will lead the strike at Bravo Zone.,critical,Rao,Bravo Zone,
Wait for instructions from Amit at 9pm.,suspicious,Amit,,9pm
Message received from Sneha.,benign,Sneha,,
Amit has submitted the daily report.,benign,Amit,,
Mission to eliminate Amit is approved.,critical,Amit,,
Mission to eliminate Amit is approved.,critical,Amit,,
Prepare the package for Raj.,suspicious,Raj,,
Thank you for the update.,benign,,,
Intercept the convoy near Warehouse 5 at dawn.,critical,,Warehouse 5,dawn
Message received from Rahul.,benign,Rahul,,
Explosives are hidden at Bravo Zone.,critical,,Bravo Zone,
All units are in position at Jalgaon.,benign,,Jalgaon,
Move the team to Jalgaon before 7am.,suspicious,,Jalgaon,7am
Kiran will lead the strike at Mumbai.,critical,Kiran,Mumbai,
Commence attack on HQ at 7am.,critical,,HQ,7am
Neutralize the target before 2am.,critical,,,2am
We will meet Rao at Extraction Point at 5pm.,suspicious,Rao,Extraction Point,5pm
Explosives are hidden at Mumbai.,critical,,Mumbai,
Mission to eliminate Amit is approved.,critical,Amit,,
Prepare the package for Kiran.,suspicious,Kiran,,
Prepare the package for Arjun.,suspicious,Arjun,,
Thank you for the update.,benign,,,
Move the team to Sector 9 before 2am.,suspicious,,Sector 9,2am
We will meet Neha at Bravo Zone at midnight.,suspicious,Neha,Bravo Zone,midnight
Wait for instructions from Sneha at 0600 hours.,suspicious,Sneha,,0600 hours
Neutralize the target before 3pm.,critical,,,3pm
Contact Rao once you're at Checkpoint Alpha.,suspicious,Rao,Checkpoint Alpha,
Sector breach reported by Kiran at Jalgaon.,critical,Kiran,Jalgaon,
Move the team to Jalgaon before 9pm.,suspicious,,Jalgaon,9pm
Good morning commander.,benign,,,
Sector breach reported by Rao at Sector 9.,critical,Rao,Sector 9,
Explosives are hidden at Checkpoint Alpha.,critical,,Checkpoint Alpha,
Explosives are hidden at Sector 9.,critical,,Sector 9,
Thank you for the update.,benign,,,
Move the team to Delhi before 12 noon.,suspicious,,Delhi,12 noon
Rao has submitted the daily report.,benign,Rao,,
We will meet Sneha at Mumbai at 0600 hours.,suspicious,Sneha,Mumbai,0600 hours
Sector breach reported by Amit at Checkpoint Alpha.,critical,Amit,Checkpoint Alpha,
